,Mean,Median,Std,Min,Max,Skewness,Kurtosis,Missing,Missing %
price,103548.1021626904,103517.48,183.23371983515563,102999.6,103858.32,-0.218017193145922,-0.6796632493730677,0,0.0
bid,103547.14894455993,103516.36,183.06812819761956,102999.6,103858.31,-0.2176496173290852,-0.6720972790476099,0,0.0
ask,103548.93460738994,103518.07,183.29439507456323,103000.63,103858.32,-0.21793559020508974,-0.685717482591679,0,0.0
return_10s,0.010495767808918557,0.0,0.05876896664337581,-0.11518514516800649,0.5489748346891267,5.86556040592991,38.65177408710598,0,0.0
return_30s,0.010042553979835271,0.0,0.058247302017296165,-0.023537704405863173,0.5489748346891267,6.4547249642660445,43.14072514210615,0,0.0
return_60s,0.010034734257130917,0.0,0.058239191675788664,0.0,0.5489748346891267,6.457941814026526,43.16984105442858,0,0.0
volatility_30s,0.0065280487688518804,0.0016831581762313142,0.017396036289028402,0.0,0.3846774764841722,6.173377366553808,62.015888836698934,0,0.0
volatility_60s,0.006528833809764423,0.0016831581762313142,0.01739577941811794,0.0,0.3846774764841722,6.1735299588250685,62.0186082139094,0,0.0
volatility_120s,0.006528833809764423,0.0016831581762313142,0.01739577941811794,0.0,0.3846774764841722,6.1735299588250685,62.0186082139094,0,0.0
spread,0.0017240921869610207,9.67461745572006e-06,0.003251714716876039,9.628501606143085e-06,0.04438241755236168,2.8827882196354317,11.390885306604824,0,0.0
intensity_30s,16.04661888954384,16.666666666666668,2.987526377617441,0.0,16.666666666666668,-4.805745060295859,21.45220499418243,0,0.0
intensity_60s,8.033892801373332,8.333333333333334,1.4896941257468657,0.0,8.333333333333334,-4.858186149238054,21.845149410739104,0,0.0
intensity_120s,4.016946400686666,4.166666666666667,0.7448470628734328,0.0,4.166666666666667,-4.858186149238054,21.845149410739104,0,0.0
